,gold,characters,hypothesis,value
17139,ГАЗ,ГАЗ,ГАЗ,30.99784278869629
79364,Форум,Форум,Форум,31.01837158203125
119782,наука,наука,наука,31.03322410583496
146767,собственность,собственность,собственность,31.078163146972656
48387,НГ,НГ,НГ,31.114200592041016
29286,Закат,Закат,Закат,31.13623046875
34506,Киров,Киров,Киров,31.14022445678711
109395,кошка,кошка,кошка,31.145185470581055
98690,доставка,доставка,доставка,31.156295776367188
38555,Листва,Листва,Листва,31.160932540893555
6403,ВИЖ,ВИЖ,ВИЖ,31.175281524658203
34570,Книги,Книги,Книги,31.203781127929688
97429,дети,дети,дети,31.206031799316406
115777,москва,москва,москва,31.21255111694336
68239,СВУ,СВУ,СВУ,31.225811004638672
80853,ЧФ,ЧФ,ЧФ,31.22714614868164
53466,ПВО,ПВО,ПВО,31.228260040283203
86020,акция,акция,акция,31.266738891601562
77516,Техника,Техника,Техника,31.274314880371094
91218,война,война,война,31.278038024902344
105935,картина,картина,картина,31.286800384521484
121533,новости,новости,новости,31.293472290039062
100962,задержание,задержание,задержание,31.313709259033203
152878,фильм,фильм,фильм,31.356609344482422
101036,закон,закон,закон,31.378929138183594
158679,1 сентября,1сентября,1 сентября,31.395763397216797
149519,суд,суд,суд,31.405223846435547
30398,ИРИ,ИРИ,ИРИ,31.407089233398438
6721,ВТА,ВТА,ВТА,31.431777954101562
2251,Армата,Армата,Армата,31.45940399169922
98665,дорога,дорога,дорога,31.477947235107422
99212,драка,драка,драка,31.47846221923828
30796,Ил,Ил,Ил,31.505184173583984
148912,справка,справка,справка,31.591981887817383
100259,елка,елка,елка,31.599409103393555
6348,ВВО,ВВО,ВВО,31.626605987548828
100546,жизнь,жизнь,жизнь,31.63811492919922
78819,Уран,Уран,Уран,31.652069091796875
158738,22 августа,22августа,22 августа,31.6750545501709
6505,ВПС,ВПС,ВПС,31.690841674804688
97576,детки,детки,детки,31.73374366760254
39830,МРС,МРС,МРС,31.73770523071289
76090,ТОФ,ТОФ,ТОФ,31.75284194946289
114588,метро,метро,метро,31.759613037109375
144788,семья,семья,семья,31.80742645263672
6340,ВАИ,ВАИ,ВАИ,31.820650100708008
78995,Уфа,Уфа,Уфа,31.831602096557617
108987,конь,конь,конь,31.83612060546875
146875,совет,совет,совет,31.838031768798828
155926,школа,школа,школа,31.868785858154297
6769,Валерия,Валерия,Валерия,31.877948760986328
153073,форд,форд,форд,31.900863647460938
41539,Мальта,Мальта,Мальта,31.9066219329834
132827,пони,пони,пони,31.925413131713867
78236,Тула,Тула,Тула,31.98210906982422
158932,26 марта,26марта,26 марта,32.02203941345215
3576,БМД,БМД,БМД,32.0521297454834
112639,марка,марка,марка,32.05649948120117
157911,12 июня,12июня,12 июня,32.08477783203125
80182,ЦСКА,ЦСКА,ЦСКА,32.10617446899414
65501,РЛС,РЛС,РЛС,32.17168045043945
2689,Артек,Артек,Артек,32.17308044433594
148645,спорт,спорт,спорт,32.17884063720703
56404,Поздравление,Поздравление,Поздравление,32.19619941711426
145893,служба,служба,служба,32.238508224487305
3572,БЛА,БЛА,БЛА,32.2939567565918
79100,ФСБ,ФСБ,ФСБ,32.361663818359375
157860,10 ноября,10ноября,10 ноября,32.375022888183594
109955,крещение,крещение,крещение,32.38546180725098
159815,8 марта,8марта,8 марта,32.3935661315918
80154,ЦВО,ЦВО,ЦВО,32.44514083862305
5525,Бойкий,Бойкий,Бойкий,32.445274353027344
101879,заявление,заявление,заявление,32.45762062072754
50219,ОПК,ОПК,ОПК,32.46868896484375
159573,6 апреля 2017,6апреля2017,6 апреля 2017,32.47378158569336
90752,водитель,водитель,водитель,32.49249267578125
124237,опер,опер,опер,32.4946231842041
53567,ППС,ППС,ППС,32.505409240722656
79145,Факты,Факты,Факты,32.51523208618164
160194,9 мая,9мая,9 мая,32.53501510620117
6364,ВВТ,ВВТ,ВВТ,32.54610252380371
154659,часы,часы,часы,32.54778289794922
149775,табак,табак,табак,32.56010818481445
114846,мимими,мимими,мимими,32.5606803894043
35864,Конев,Конев,Конев,32.56667709350586
6352,ВВС,ВВС,ВВС,32.586862564086914
39795,МИКР,МИКР,МИКР,32.608985900878906
151987,угон,угон,угон,32.62456512451172
78403,УУП,УУП,УУП,32.66533279418945
28791,ЗВО,ЗВО,ЗВО,32.671865463256836
117192,музыка,музыка,музыка,32.67189025878906
150993,торт,торт,торт,32.67312431335449
158663,1 мая,1мая,1 мая,32.68549346923828
17198,ГУМ,ГУМ,ГУМ,32.70811080932617
65439,РАСО,РАСО,РАСО,32.72313690185547
65061,Пучков,Пучков,Пучков,32.730262756347656
68567,СНГ,СНГ,СНГ,32.73529624938965
142831,самбо,самбо,самбо,32.73567771911621
17379,Германия,Германия,Германия,32.753265380859375
117634,муха,муха,муха,32.7804012298584
68755,Самара,Самара,Самара,32.79050064086914
101028,займ,займ,займ,32.79880714416504
133442,почта,почта,почта,32.80046844482422
54131,Панков,Панков,Панков,32.81019592285156
68575,СПКУ,СПКУ,СПКУ,32.822723388671875
112654,марки,марки,марки,32.824337005615234
29220,Задержание,Задержание,Задержание,32.830514907836914
78701,Умба,Умба,Умба,32.87569999694824
68781,Самолеты,Самолеты,Самолеты,32.885379791259766
39571,МАКС,МАКС,МАКС,32.88764572143555
79104,ФТС,ФТС,ФТС,32.90290451049805
142919,самолет,самолет,самолет,32.906707763671875
16768,Вулин,Вулин,Вулин,32.913230895996094
58335,Полиция,Полиция,Полиция,32.92909049987793
79510,Фото дня,Фотодня,Фото дня,32.931556701660156
93702,граждан,граждан,граждан,32.93516159057617
138327,прием,прием,прием,32.97447204589844
151656,убийство,убийство,убийство,32.994415283203125
2215,Арктика,Арктика,Арктика,33.015357971191406
6481,ВМФ,ВМФ,ВМФ,33.0428352355957
79472,Форума,Форума,Форума,33.04913330078125
158800,22 июня,22июня,22 июня,33.06740188598633
100267,елки,елки,елки,33.06957244873047
35879,Конкурс,Конкурс,Конкурс,33.07307052612305
65489,РЖД,РЖД,РЖД,33.09799575805664
111935,лось,лось,лось,33.09856033325195
110729,лекция,лекция,лекция,33.118778228759766
105070,информация,информация,информация,33.135868072509766
3580,БМП,БМП,БМП,33.145973205566406
224,АКИТ,АКИТ,АКИТ,33.162879943847656
6325,Бунин,Бунин,Бунин,33.17870330810547
118418,названия,названия,названия,33.18186950683594
105804,камера,камера,камера,33.207763671875
100251,езда,езда,езда,33.2110710144043
159483,4 ноября,4ноября,4 ноября,33.21326446533203
34555,Китай,Китай,Китай,33.21763229370117
76612,Танки,Танки,Танки,33.22029113769531
44451,МиГ,МиГ,МиГ,33.25200653076172
30983,Индия,Индия,Индия,33.26966857910156
158127,17 ноября,17ноября,17 ноября,33.28525924682617
152318,уур,уур,уур,33.30726623535156
82652,Чуковский,Чуковский,Чуковский,33.307796478271484
154651,цска,цска,цска,33.3480224609375
159801,80 лет,80лет,80 лет,33.4365234375
33136,Кадеты,Кадеты,Кадеты,33.44567108154297
68227,СВАО,СВАО,СВАО,33.45112609863281
79092,ФОТО,ФОТО,ФОТО,33.465736389160156
93052,головинский,головинский,головинский,33.486351013183594
37777,Курск,Курск,Курск,33.508460998535156
140877,родители,родители,родители,33.543182373046875
48383,НВФ,НВФ,НВФ,33.585044860839844
93130,голосование,голосование,голосование,33.585975646972656
34147,Кижи,Кижи,Кижи,33.59650421142578
3407,БДК,БДК,БДК,33.630035400390625
29301,Законы,Законы,Законы,33.632633209228516
33549,Канада,Канада,Канада,33.63505935668945
155986,штаб,штаб,штаб,33.66159439086914
53541,ПДД,ПДД,ПДД,33.66714096069336
114909,мирация,мирация,мирация,33.68379211425781
140441,растрата,растрата,растрата,33.71775817871094
74678,Сталинград,Сталинград,Сталинград,33.72216033935547
6725,ВУМО,ВУМО,ВУМО,33.73545837402344
149286,строительство,строительство,строительство,33.747779846191406
105168,искусство,искусство,искусство,33.773616790771484
143688,свидетель,свидетель,свидетель,33.7977294921875
38748,Лужский,Лужский,Лужский,33.81547546386719
103762,икона,икона,икона,33.83244323730469
38080,Латвия,Латвия,Латвия,33.864105224609375
77891,Томск,Томск,Томск,33.868324279785156
86813,бабушка,бабушка,бабушка,33.873573303222656
58500,Польша,Польша,Польша,33.876121520996094
2479,Армейский,Армейский,Армейский,33.88936233520508
160202,А 50,А50,А 50,33.904388427734375
3382,Африка,Африка,Африка,33.93114471435547
105432,кабель,кабель,кабель,33.932037353515625
33070,КСОР,КСОР,КСОР,33.94110107421875
142317,рыба,рыба,рыба,33.94187927246094
112003,лужники,лужники,лужники,33.95000457763672
157166,юмор,юмор,юмор,33.98514938354492
44701,Минобороны России,МинобороныРоссии,Минобороны России,33.993553161621094
19279,Гудини,Гудини,Гудини,34.02981185913086
28795,ЗРК,ЗРК,ЗРК,34.03904342651367
68243,СЗАО,СЗАО,СЗАО,34.094329833984375
151995,угро,угро,угро,34.10908508300781
13750,Воин,Воин,Воин,34.112083435058594
154435,цирк,цирк,цирк,34.11208724975586
133372,посылка,посылка,посылка,34.11689376831055
6509,ВСКС,ВСКС,ВСКС,34.12165451049805
83992,ЯРС,ЯРС,ЯРС,34.14952850341797
110938,лето,лето,лето,34.15262222290039
158609,1 апреля,1апреля,1 апреля,34.17469787597656
146019,сми,сми,сми,34.186859130859375
133407,посылки,посылки,посылки,34.187557220458984
103918,индекс,индекс,индекс,34.22629928588867
110014,кросс,кросс,кросс,34.23905563354492
76587,Тамбов,Тамбов,Тамбов,34.25823211669922
146630,собака,собака,собака,34.285186767578125
90589,вклады,вклады,вклады,34.33694076538086
51650,Опрос,Опрос,Опрос,34.34627914428711
31880,Испания,Испания,Испания,34.369110107421875
19774,Дания,Дания,Дания,34.3758544921875
14726,Восток России,ВостокРоссии,Восток России,34.38002395629883
137500,практика,практика,практика,34.38832092285156
54171,Парады,Парады,Парады,34.4206657409668
50231,ОПРФ,ОПРФ,ОПРФ,34.428306579589844
107193,клуб,клуб,клуб,34.43714904785156
78244,Турция,Турция,Турция,34.44328689575195
158647,1 июня,1июня,1 июня,34.48271942138672
36535,Корабли,Корабли,Корабли,34.48566436767578
142737,салон,салон,салон,34.487823486328125
30402,Иваново,Иваново,Иваново,34.491172790527344
53419,Открытки,Открытки,Открытки,34.49335861206055
121963,номера,номера,номера,34.49801254272461
37160,Крещение,Крещение,Крещение,34.50896072387695
103777,икра,икра,икра,34.520599365234375
158825,23 февраля,23февраля,23 февраля,34.52938461303711
51958,Оружие,Оружие,Оружие,34.53377151489258
39842,МЧС,МЧС,МЧС,34.538002014160156
137003,права,права,права,34.56785583496094
152003,удача,удача,удача,34.56966018676758
232,АРМИ,АРМИ,АРМИ,34.57126235961914
37677,Курган,Курган,Курган,34.572181701660156
92307,газета,газета,газета,34.57649230957031
107216,книга,книга,книга,34.588253021240234
93734,граждане,граждане,граждане,34.619293212890625
79671,Франция,Франция,Франция,34.65926742553711
38065,Ланди,Ланди,Ланди,34.66828918457031
115118,мкад,мкад,мкад,34.68286895751953
53545,ПДН,ПДН,ПДН,34.691490173339844
39579,МВАА,МВАА,МВАА,34.69878005981445
79349,Фомин,Фомин,Фомин,34.70697784423828
91905,выпуск,выпуск,выпуск,34.711273193359375
151607,турнин,турнин,турнин,34.71611785888672
53763,ПТРК,ПТРК,ПТРК,34.755126953125
23177,День России,ДеньРоссии,День России,34.78608703613281
65530,РСЗО,РСЗО,РСЗО,34.787071228027344
32830,Ишим,Ишим,Ишим,34.78711700439453
4247,Беларусь,Беларусь,Беларусь,34.8027458190918
39803,МКИОН,МКИОН,МКИОН,34.805755615234375
89544,вао,вао,вао,34.80854034423828
99204,дпд,дпд,дпд,34.82002639770508
36154,Контракты,Контракты,Контракты,34.84716033935547
142953,самолеты,самолеты,самолеты,34.856834411621094
122310,обучение,обучение,обучение,34.8570556640625
78786,Ураган,Ураган,Ураган,34.86024475097656
81844,Чечня,Чечня,Чечня,34.899208068847656
123970,омон,омон,омон,34.92475891113281
101087,зао,зао,за о,34.93262481689453
11619,Военно,Военно,Военно,34.93601989746094
90573,визит,визит,визит,34.94253921508789
98485,должность,должность,должность,34.96747589111328
115727,монета,монета,монета,34.9755859375
94924,деньги,деньги,деньги,34.98258972167969
48442,Награждение,Награждение,Награждение,34.98809814453125
146890,совещание,совещание,совещание,34.988670349121094
124714,оружие,оружие,оружие,34.994754791259766
26917,Динамо,Динамо,Динамо,35.021095275878906
37701,Курсант,Курсант,Курсант,35.02237319946289
94217,девушка,девушка,девушка,35.023983001708984
153730,хорошевский,хорошевский,хорошевский,35.031612396240234
126942,память,память,память,35.051551818847656
75490,Стрелки,Стрелки,Стрелки,35.06883239746094
112823,мачете,мачете,мачете,35.090518951416016
83542,ЮВО,ЮВО,ЮВО,35.10136795043945
32781,Италия,Италия,Италия,35.10286331176758
66427,Рождество,Рождество,Рождество,35.13503646850586
150335,телефон,телефон,телефон,35.163124084472656
157174,юрист,юрист,юрист,35.18271255493164
39818,ММПО,ММПО,ММПО,35.183616638183594
145811,скутер,скутер,скутер,35.19819641113281
159007,29 февраля,29февраля,29 февраля,35.20241928100586
80138,ЦАМО,ЦАМО,ЦАМО,35.205081939697266
6172,Бродский,Бродский,Бродский,35.215049743652344
27413,Дмитров,Дмитров,Дмитров,35.22825241088867
41727,Маршак,Маршак,Маршак,35.231727600097656
28222,ЕМИИ,ЕМИИ,ЕМИИ,35.23746871948242
44657,Министр,Министр,Министр,35.24456787109375
153061,флаг,флаг,флаг,35.24690628051758
111301,лифт,лифт,лифт,35.26850128173828
39514,Львовский,Львовский,Львовский,35.27302551269531
109410,кп,кп,кп,35.279571533203125
65473,РВСН,РВСН,РВСН,35.28499221801758
79705,Фрида,Фрида,Фрида,35.29596710205078
3870,Безопасность,Безопасность,Безопасность,35.297813415527344
36569,Корветы,Корветы,Корветы,35.30032730102539
130389,поздравления,поздравления,поздравления,35.30950927734375
92332,газеты,газеты,газеты,35.34475326538086
132172,полиция,полиция,полиция,35.35215759277344
33078,КХЛ,КХЛ,КХЛ,35.354591369628906
129230,плавание,плавание,плавание,35.396575927734375
140300,раменки,раменки,раменки,35.39744567871094
115752,монеты,монеты,монеты,35.40038299560547
36601,Корея,Корея,Корея,35.40501022338867
64839,Приступления,Приступления,Приступления,35.41091537475586
124755,осень,осень,осень,35.41655731201172
68889,Саратов,Саратов,Саратов,35.43055725097656
68266,СККП,СККП,СККП,35.44062423706055
139727,профессионал,профессионал,профессионал,35.44712829589844
140276,разбой,разбой,разбой,35.4534912109375
82730,ШОС,ШОС,ШОС,35.453521728515625
105614,кадры,кадры,кадры,35.50590515136719
92699,герой,герой,герой,35.52935791015625
86751,афиша,афиша,афиша,35.53467559814453
140336,ранение,ранение,ранение,35.560604095458984
93653,гостиница,гостиница,гостиница,35.565670013427734
13810,Вологда,Вологда,Вологда,35.57339096069336
33484,Калуга,Калуга,Калуга,35.57683563232422
35982,Конкурсы,Конкурсы,Конкурсы,35.590919494628906
118265,награда,награда,награда,35.59722137451172
150936,торжество,торжество,торжество,35.61235809326172
84210,авария,авария,авария,35.62506103515625
2591,Армия России,АрмияРоссии,Армия России,35.62920379638672
85714,агз,агз,агз,35.639442443847656
145836,следствие,следствие,следствие,35.643070220947266
110257,культура,культура,культура,35.64338684082031
67978,Русское радио,Русскоерадио,Русское радио,35.648033142089844
90670,внимание,внимание,внимание,35.654396057128906
37735,Курсанты,Курсанты,Курсанты,35.67680740356445
150290,телеграф,телеграф,телеграф,35.693115234375
6358,ВВСТ,ВВСТ,ВВ СТ,35.70614242553711
128935,питер,питер,питер,35.72016525268555
70604,Сербия,Сербия,Сербия,35.742034912109375
29977,Здоровье,Здоровье,Здоровье,35.7588996887207
68274,СКРЦ,СКРЦ,СКРЦ,35.76919174194336
94252,девушки,девушки,девушки,35.781009674072266
31682,Ирбит,Ирбит,Ирбит,35.793575286865234
163722,Индра 2017,Индра2017,Индра 2017,35.796905517578125
16783,Вызов,Вызов,Вызов,35.81005096435547
14238,Вопрос дня,Вопросдня,Вопрос дня,35.83152770996094
150007,таксист,таксист,так сист,35.869293212890625
99208,дпс,дпс,дпс,35.870399475097656
124862,остановка,остановка,остановка,35.918182373046875
153442,хищение,хищение,хищение,35.939170837402344
1343,Алеут,Алеут,Алеут,35.943756103515625
65493,РККА,РККА,РККА,35.95027160644531
46797,Московский,Московский,Московский,35.965538024902344
118650,наличники,наличники,наличники,35.98627471923828
160602,Армия 2017,Армия2017,Армия 2017,35.98822021484375
90106,весна,весна,весна,36.01102066040039
160660,Армия 2018,Армия2018,Армия 2018,36.01594543457031
140005,путевка,путевка,путевка,36.02362823486328
77065,Тверь,Тверь,Тверь,36.04237365722656
14030,Вооружение,Вооружение,Вооружение,36.051578521728516
33030,КАМАЗ,КАМАЗ,КАМАЗ,36.05321502685547
94173,гуляния,гуляния,гуляния,36.06166458129883
157961,12 апреля,12апреля,12 апреля,36.06468200683594
76094,ТПКУ,ТПКУ,ТПКУ,36.13669204711914
114738,миграция,миграция,миграция,36.16777801513672
127431,перекрытие,перекрытие,перекрытие,36.17430877685547
143380,сао,сао,сао,36.174522399902344
1957,Анапа,Анапа,Анапа,36.177757263183594
159853,8 марта 2017,8марта2017,8 марта 2017,36.18321990966797
150222,телеграмма,телеграмма,телеграмма,36.18927764892578
30762,Израиль,Израиль,Израиль,36.21609115600586
94035,грузовик,грузовик,грузовик,36.21870422363281
122023,обман,обман,обман,36.25330352783203
142124,руководство,руководство,руководство,36.253726959228516
149760,сыщик,сыщик,сыщик,36.26258850097656
84672,автоматы,автоматы,автоматы,36.27446365356445
158964,27 января,27января,27 января,36.29212188720703
118463,назначение,назначение,назначение,36.31477355957031
143640,свидетели,свидетели,свидетели,36.323814392089844
71052,Следователь,Следователь,Следователь,36.327030181884766
74495,Спорт,Спорт,Спорт,36.32789993286133
12355,Военное,Военное,Военное,36.328369140625
17690,Герой,Герой,Герой,36.33355712890625
50036,Новый год,Новыйгод,Новый год,36.35846710205078
125411,открытка,открытка,открытка,36.359100341796875
142382,рязанский,рязанский,рязанский,36.359161376953125
38698,Лондон,Лондон,Лондон,36.38340759277344
149989,такси,такси,такси,36.39442825317383
100917,задержан,задержан,задержан,36.39564895629883
110463,курьер,курьер,курьер,36.4129638671875
48114,Муром,Муром,Муром,36.428714752197266
125362,открытие,открытие,открытие,36.43722915649414
28230,Евразия,Евразия,Евразия,36.44020080566406
130374,пожар,пожар,пожар,36.444637298583984
149385,студенты,студенты,студенты,36.466773986816406
110354,куркино,куркино,куркино,36.474159240722656
77647,Тихвин,Тихвин,Тих вин,36.47528076171875
39826,МПЦ,МПЦ,МПЦ,36.48091125488281
4292,Белгород,Белгород,Белгород,36.484439849853516
115048,митино,митино,митино,36.48596954345703
130048,подделка,подделка,подделка,36.48982238769531
124740,осаго,осаго,осаго,36.4984130859375
50223,ОПКУ,ОПКУ,ОПКУ,36.515655517578125
156041,штраф,штраф,штраф,36.51984405517578
147455,сотрудник,сотрудник,сотрудник,36.53343963623047
106373,квартира,квартира,квартира,36.54802703857422
154647,цпп,цпп,цпп,36.602596282958984
110388,курсант,курсант,курсант,36.60358428955078
132741,полк,полк,полк,36.6068229675293
86645,арест,арест,арест,36.61470413208008
109999,кровь,кровь,кровь,36.62734603881836
153069,фмс,фмс,фмс,36.63558578491211
119719,нарушения,нарушения,нарушения,36.63668441772461
107712,комиссия,комиссия,комиссия,36.652809143066406
108953,концерт,концерт,концерт,36.65693283081055
27803,Дойл,Дойл,Дойл,36.660274505615234
152314,ууп,ууп,ууп,36.662750244140625
148069,спасение,спасение,спасение,36.664459228515625
86620,аренда,аренда,аренда,36.678192138671875
140563,рейд,рейд,рейд,36.723270416259766
149523,судимость,судимость,судимость,36.72358322143555
74416,Спасик,Спасик,Спасик,36.73750686645508
3584,БПЛА,БПЛА,БПЛА,36.7383918762207
168471,СУ 24,СУ24,СУ 24,36.75749206542969
122420,обязательно,обязательно,обязательно,36.78694152832031
73962,Сочи,Сочи,Сочи,36.79537582397461
107381,коап,коап,коап,36.81984329223633
90031,верблюд,верблюд,верблюд,36.842201232910156
146947,содействие,содействие,содействие,36.867637634277344
3638,Балканы,Балканы,Балканы,36.87156295776367
89748,вдв,вдв,вдв,36.87656784057617
110422,курсанты,курсанты,курсанты,36.88551330566406
58379,Полиция России,ПолицияРоссии,Полиция России,36.90205383300781
68093,Рязань,Рязань,Рязань,36.908851623535156
101051,занятие,занятие,занятие,36.909217834472656
39656,МВМУ,МВМУ,МВМУ,36.91949462890625
36901,Кострома,Кострома,Кострома,36.925506591796875
154631,цифры,цифры,цифры,36.93452072143555
65505,РОСИЗО,РОСИЗО,РОСИЗО,36.977745056152344
37421,Крючек,Крючек,Крючек,36.99412536621094
69109,Сборная России,СборнаяРоссии,Сборная России,36.995296478271484
117103,музей,музей,музей,37.00669860839844
53549,ПДСС,ПДСС,ПДСС,37.03386306762695
103576,игорный,игорный,игорный,37.034759521484375
146023,снег,снег,снег,37.03965759277344
151632,тушино,тушино,тушино,37.076934814453125
140117,пятница,пятница,пятница,37.08558654785156
152490,фантастика,фантастика,фантастика,37.086219787597656
50239,ОСМВД,ОСМВД,ОСМВД,37.10160827636719
34808,Колпино,Колпино,Колпино,37.104881286621094
111276,лизинг,лизинг,лизинг,37.10845184326172
140517,редкость,редкость,редкость,37.147499084472656
92357,гаи,гаи,гаи,37.15576171875
142210,русское радио,русскоерадио,русское радио,37.15938949584961
138866,продукция,продукция,продукция,37.16815185546875
5553,Болгария,Болгария,Болгария,37.16823196411133
48049,Мулино,Мулино,Мулино,37.17094421386719
54647,Патруль,Патруль,Патруль,37.171913146972656
129465,победа,победа,победа,37.1757926940918
100393,женщина,женщина,женщина,37.19401168823242
68251,СИРИЯ,СИРИЯ,СИРИЯ,37.197479248046875
112565,мамочка,мамочка,мамочка,37.20569610595703
54615,Патриот,Патриот,Патриот,37.211158752441406
107446,коллегия,коллегия,коллегия,37.24372482299805
19305,Гущин,Гущин,Гущин,37.24962615966797
50207,ОДКБ,ОДКБ,ОДКБ,37.2529296875
156113,экология,экология,экология,37.25991439819336
64792,Приморье,Приморье,Приморье,37.274478912353516
120422,нелегал,нелегал,нелегал,37.275543212890625
124916,остров,остров,остров,37.28831481933594
163857,Ка 29,Ка29,Ка 29,37.30608367919922
83984,ЯНАО,ЯНАО,ЯНАО,37.30634307861328
84126,Япония,Япония,Япония,37.34968948364258
150446,терминал,терминал,терминал,37.35107421875
59689,Почта России,ПочтаРоссии,Почта России,37.36696243286133
41883,Марьино,Марьино,Марьино,37.373497009277344
335,Авиация,Авиация,Авиация,37.400672912597656
98631,донской,донской,донской,37.4062614440918
162734,Запад 2017,Запад2017,Запад 2017,37.42361068725586
118329,награждение,награждение,награждение,37.42425537109375
80146,ЦВМБ,ЦВМБ,ЦВМБ,37.425865173339844
153963,художник,художник,художник,37.446014404296875
69860,Селектор,Селектор,Селектор,37.455074310302734
92040,выстрел,выстрел,выстрел,37.46086883544922
89744,ввц,ввц,ввц,37.48258972167969
126375,открытки,открытки,открытки,37.48926544189453
80843,ЧАЭС,ЧАЭС,ЧАЭС,37.48981857299805
112603,марибор,марибор,марибор,37.50769805908203
1094,АиФ,АиФ,А и Ф,37.50802230834961
95018,день города,деньгорода,день города,37.51948547363281
65544,РХБЗ,РХБЗ,РХБЗ,37.52851867675781
93777,гражданин,гражданин,гражданин,37.53107833862305
112505,магазин,магазин,магазин,37.53558349609375
19219,Греция,Греция,Греция,37.536991119384766
26198,Дербент,Дербент,Дербент,37.54001998901367
121702,новый сайт,новыйсайт,новый сайт,37.54371643066406
124497,орехи,орехи,орехи,37.54887390136719
94082,гсу,гсу,г с у,37.55731201171875
145919,слушатели,слушатели,слушатели,37.558937072753906
78378,Тюмень,Тюмень,Тюмень,37.563358306884766
13602,Военный,Военный,Военный,37.567626953125
34365,Кинологи,Кинологи,Кинологи,37.58004379272461
6387,ВИДЕО,ВИДЕО,ВИДЕО,37.59440231323242
2200,Анчар,Анчар,Анчар,37.59516906738281
99480,дтп,дтп,д тп,37.61051559448242
126595,памятка,памятка,памятка,37.63532638549805
163849,Ка 27,Ка27,Ка 27,37.63996505737305
31562,Инновации,Инновации,Инновации,37.64493179321289
17853,Год ГО,ГодГО,Год ГО,37.653594970703125
41915,Масленица,Масленица,Масленица,37.65831756591797
138831,продажи,продажи,продажи,37.66895294189453
93875,грибники,грибники,грибники,37.687034606933594
3592,БРИКС,БРИКС,БРИКС,37.70616149902344
97407,детдом,детдом,дет дом,37.707115173339844
118297,награды,награды,награды,37.715396881103516
52101,Орёл,Орёл,Орёл,37.71928405761719
72375,Собибор,Собибор,Собибор,37.76026153564453
150673,тинао,тинао,тинао,37.76191711425781
91147,войковский,войковский,войковский,37.766265869140625
143546,сбыт,сбыт,с быт,37.768192291259766
107201,клубы,клубы,клубы,37.78137969970703
140571,рекомендации,рекомендации,рекомендации,37.81446075439453
48434,НЦУО,НЦУО,НЦУО,37.81940841674805
