,gold,characters,hypothesis,value
78525,Bangalore,Bangalore,Bangalore,21.430770874023438
66677,geocache,geocache,geocache,21.468902587890625
25081,melbourne,melbourne,melbourne,21.47249984741211
33870,Ericsson,Ericsson,Ericsson,21.472747802734375
34467,Scarlet,Scarlet,Scarlet,21.478744506835938
63295,good night,goodnight,goodnight,21.49740219116211
18602,suck,suck,suck,21.49749755859375
6017,indonesia,indonesia,indonesia,21.506175994873047
37472,Croatia,Croatia,Croatia,21.535377502441406
65344,heartbreak,heartbreak,heartbreak,21.53940200805664
35154,vancouver,vancouver,vancouver,21.550857543945312
6314,conservation,conservation,conservation,21.551624298095703
22934,Twins,Twins,Twins,21.568164825439453
5104,democratic,democratic,democratic,21.574268341064453
66260,FAIL,FAIL,FAIL,21.588226318359375
35259,Halo 3,Halo3,Halo 3,21.589305877685547
43772,expenses,expenses,expenses,21.600040435791016
16187,Penguins,Penguins,Penguins,21.648048400878906
23792,Hawks,Hawks,Hawks,21.64850616455078
7963,TYLER,TYLER,TYLER,21.653297424316406
36579,tweet deck,tweetdeck,tweetdeck,21.657413482666016
1799,Virgin,Virgin,Virgin,21.672317504882812
23958,Pity,Pity,Pity,21.674564361572266
9399,Adobe,Adobe,Adobe,21.675010681152344
2049,photog,photog,photog,21.677066802978516
61325,miracle,miracle,miracle,21.68117904663086
76705,swans,swans,swans,21.684215545654297
40612,Santa Barbara,SantaBarbara,Santa Barbara,21.69466781616211
39941,May 24,May24,May 24,21.713905334472656
9373,Drupal,Drupal,Drupal,21.778194427490234
739,tracy,tracy,tracy,21.80423355102539
44278,Flashpoint,Flashpoint,Flashpoint,21.804977416992188
18243,maddie,maddie,maddie,21.811294555664062
60171,SIXX,SIXX,SIXX,21.886566162109375
65138,homeless,homeless,homeless,21.921504974365234
47260,interop,interop,interop,21.927921295166016
72016,Nats,Nats,Nats,21.972522735595703
14310,Genocide,Genocide,Genocide,22.01216697692871
69991,Morrissey,Morrissey,Morrissey,22.082420349121094
46405,Cannes,Cannes,Cannes,22.093544006347656
27820,lobster,lobster,lobster,22.139789581298828
6627,buffalo,buffalo,buffalo,22.146564483642578
72859,jealous,jealous,jealous,22.2044677734375
44567,Fails,Fails,Fails,22.207324981689453
26407,kimi,kimi,kimi,22.21923828125
20007,apprentice,apprentice,apprentice,22.224323272705078
1998,ottawa,ottawa,ottawa,22.237579345703125
9071,Coachella,Coachella,Coachella,22.24187469482422
22196,Peoria,Peoria,Peoria,22.246654510498047
18003,background image,backgroundimage,background image,22.253074645996094
21492,toulouse,toulouse,toulouse,22.27222442626953
59746,star wars,starwars,starwars,22.317829132080078
2451,howling,howling,howling,22.326595306396484
48307,unfollow,unfollow,unfollow,22.327091217041016
15598,bulls,bulls,bulls,22.334171295166016
18625,brighton,brighton,brighton,22.369003295898438
6114,nascar,nascar,nascar,22.397335052490234
60063,Chrysler,Chrysler,Chrysler,22.407012939453125
15613,Pompey,Pompey,Pompey,22.458053588867188
17257,Spiritual,Spiritual,Spiritual,22.473583221435547
63696,lupus,lupus,lupus,22.48406982421875
48456,Leinster,Leinster,Leinster,22.487781524658203
24390,Marley,Marley,Marley,22.489700317382812
10251,app store,appstore,appstore,22.514244079589844
36706,robinson,robinson,robinson,22.519287109375
28866,Dollhouse,Dollhouse,Dollhouse,22.532608032226562
40254,not really,notreally,not really,22.557708740234375
1754,semantic,semantic,semantic,22.567371368408203
19421,blue box,bluebox,bluebox,22.578712463378906
8965,dispatches,dispatches,dispatches,22.58271026611328
35613,mumbai,mumbai,mumbai,22.585895538330078
43268,adium,adium,adium,22.586776733398438
39969,monday,monday,monday,22.599773406982422
51327,fails,fails,fails,22.623882293701172
38805,redwings,redwings,redwings,22.654319763183594
66749,it sucks,itsucks,it sucks,22.668251037597656
9591,MICA,MICA,MICA,22.66954803466797
56921,Canes,Canes,Canes,22.734413146972656
1397,rock box,rockbox,rockbox,22.76634979248047
6235,uprise,uprise,uprise,22.777660369873047
19926,Breaking Bad,BreakingBad,Breaking Bad,22.780807495117188
34772,biking,biking,biking,22.78567123413086
16607,postgresql,postgresql,postgresql,22.814136505126953
24909,perth,perth,perth,22.83151626586914
6665,bluray,bluray,bluray,22.833721160888672
65543,Heineken,Heineken,Heineken,22.854015350341797
46227,leopard,leopard,leopard,22.863204956054688
72281,twat,twat,twat,22.869617462158203
32231,NHL Playoffs,NHLPlayoffs,NHL Playoffs,22.896808624267578
65984,spymaster,spymaster,spymaster,22.937789916992188
8582,genealogy,genealogy,genealogy,22.950244903564453
19274,riff,riff,riff,22.962474822998047
39108,lacrosse,lacrosse,lacrosse,22.971385955810547
47825,togs,togs,togs,22.98645782470703
37311,Wii,Wii,Wii,22.987415313720703
15888,Nuggets,Nuggets,Nuggets,22.991680145263672
65427,ccnet,ccnet,ccnet,23.011585235595703
46885,Synology,Synology,Synology,23.013397216796875
75783,global warming,globalwarming,global warming,23.025402069091797
43819,Indy,Indy,Indy,23.027442932128906
56482,cramps,cramps,cramps,23.036643981933594
10873,throwback,throwback,throwback,23.050857543945312
21389,forex,forex,forex,23.107975006103516
35118,windows 7,windows7,windows 7,23.183494567871094
48023,Bruins,Bruins,Bruins,23.209678649902344
11647,home game,homegame,home game,23.215892791748047
19282,Ducks,Ducks,Ducks,23.23647689819336
9651,redshirts,redshirts,redshirts,23.246761322021484
63376,everton,everton,everton,23.27216339111328
71408,Migraine,Migraine,Migraine,23.275848388671875
69676,reality check,realitycheck,reality check,23.285297393798828
51342,Graze,Graze,Graze,23.306903839111328
14355,Karachi,Karachi,Karachi,23.346797943115234
48354,Wolfram Alpha,WolframAlpha,WolframAlpha,23.403057098388672
19641,Continental,Continental,Continental,23.403671264648438
1433,good life,goodlife,good life,23.432464599609375
37375,WTCC,WTCC,WTCC,23.432510375976562
38480,Manure,Manure,Manure,23.486251831054688
55938,Firebox,Firebox,Firebox,23.52715301513672
27222,Man Utd,ManUtd,Man Utd,23.556968688964844
43688,web 2,web2,web2,23.559322357177734
10443,Lomo,Lomo,Lomo,23.584537506103516
5096,SUPA,SUPA,SUPA,23.615657806396484
2898,bremen,bremen,bremen,23.62783432006836
51444,graze,graze,graze,23.642940521240234
26834,man city,mancity,mancity,23.698169708251953
57034,leafs,leafs,leafs,23.740345001220703
34389,crumpets,crumpets,crumpets,23.759300231933594
37826,Semper Fidelis,SemperFidelis,Semper Fidelis,23.7889404296875
55119,TWELVE,TWELVE,TWELVE,23.794719696044922
60005,Dale Brown,DaleBrown,Dale Brown,23.815017700195312
34920,Wishful Thinking,WishfulThinking,Wishful Thinking,23.820186614990234
63350,dongle,dongle,dongle,23.826690673828125
56230,giro,giro,giro,23.851253509521484
59790,lakers,lakers,lakers,23.872718811035156
16172,i news,inews,inews,23.891796112060547
26570,scrapbook,scrapbook,scrapbook,23.90430450439453
53648,volkswagen,volkswagen,volkswagen,23.915958404541016
21026,xenocide,xenocide,xenocide,23.91643524169922
51156,google chrome,googlechrome,google chrome,23.916900634765625
603,star trek,startrek,startrek,23.935073852539062
33583,climb,climb,climb,23.948524475097656
34656,green day,greenday,greenday,23.974822998046875
70527,polaroid,polaroid,polaroid,23.985687255859375
67254,field notes,fieldnotes,fieldnotes,24.001266479492188
71528,Hunchback,Hunchback,Hunchback,24.03112030029297
13840,Nambu,Nambu,Nambu,24.033077239990234
1851,barcodes,barcodes,barcodes,24.046722412109375
33855,GMail,GMail,GMail,24.078765869140625
10940,dissertation,dissertation,dissertation,24.10586166381836
37261,primal,primal,primal,24.106380462646484
50656,subway,subway,subway,24.11801528930664
37512,family history,familyhistory,family history,24.182830810546875
8428,Prabhakaran,Prabhakaran,Prabhakaran,24.204784393310547
44502,school time,schooltime,school time,24.21990966796875
48283,arashi,arashi,arashi,24.223697662353516
75988,Throwback,Throwback,Throwback,24.224029541015625
15545,bamboozle,bamboozle,bamboozle,24.227012634277344
18153,roll call,rollcall,roll call,24.238155364990234
44122,COBOL,COBOL,COBOL,24.245071411132812
75482,laker,laker,laker,24.25872039794922
61467,terminator,terminator,terminator,24.263099670410156
67122,wieters,wieters,wieters,24.265960693359375
5299,tuttle,tuttle,tuttle,24.293350219726562
75503,right turn,rightturn,right turn,24.33521270751953
56687,twares,twares,twares,24.356182098388672
66722,rstats,rstats,rstats,24.40001678466797
22949,blisters,blisters,blisters,24.41020965576172
76725,David Archuleta,DavidArchuleta,David Archuleta,24.419387817382812
63831,nightshift,nightshift,night shift,24.428878784179688
24777,dollhouse,dollhouse,dollhouse,24.443317413330078
39038,yankees,yankees,yankees,24.462657928466797
32641,my map,mymap,my map,24.47335433959961
17918,hatton,hatton,hatton,24.47769546508789
78087,free nas,freenas,freenas,24.479785919189453
5440,cubbies,cubbies,cubbies,24.483421325683594
50090,orkut,orkut,orkut,24.508159637451172
58040,pinoy,pinoy,pinoy,24.528560638427734
33301,SharePoint,SharePoint,SharePoint,24.58069610595703
50919,lightboxes,lightboxes,lightboxes,24.593441009521484
12746,swine flu,swineflu,swine flu,24.627532958984375
8731,Game Ports,GamePorts,Game Ports,24.627727508544922
31426,no pants,nopants,no pants,24.704811096191406
48104,just sayin,justsayin,just sayin,24.715282440185547
54341,Talking Heads,TalkingHeads,Talking Heads,24.75605010986328
72199,S Army,SArmy,S Army,24.76290512084961
69495,manics,manics,manics,24.779850006103516
9202,malware bytes,malwarebytes,malwarebytes,24.804691314697266
74031,wset,wset,wset,24.813873291015625
73521,TCOT,TCOT,TCOT,24.847576141357422
64915,cost savings,costsavings,cost savings,24.851871490478516
12388,not likely,notlikely,not likely,24.894149780273438
19872,Kelloggs,Kelloggs,Kelloggs,24.900035858154297
29124,nucks,nucks,nucks,24.924549102783203
72983,the beat,thebeat,the beat,24.9420166015625
36634,eurovision,eurovision,eurovision,24.956581115722656
5291,nufc,nufc,nufc,24.96076202392578
39011,brasil,brasil,brasil,24.97451400756836
18315,Logies,Logies,Logies,25.004241943359375
49840,no agenda,noagenda,no agenda,25.014427185058594
2134,Wii Fit,WiiFit,Wii Fit,25.03342056274414
15073,TMMM,TMMM,TMMM,25.039958953857422
38555,racial profiling,racialprofiling,racial profiling,25.04376220703125
70256,whats happening,whatshappening,whats happening,25.049243927001953
17942,logies,logies,logies,25.06136703491211
31550,macbooks,macbooks,macbooks,25.07781219482422
54111,ravelry,ravelry,ravelry,25.095291137695312
10389,pissed off,pissedoff,pissed off,25.095489501953125
46264,sawman,sawman,sawman,25.13086700439453
48847,The Brick,TheBrick,The Brick,25.16844940185547
9703,Tweetie,Tweetie,Tweetie,25.17556381225586
23757,canucks,canucks,canucks,25.205974578857422
21337,tough love,toughlove,tough love,25.20775604248047
39954,g free,gfree,gfree,25.214885711669922
78079,twpp,twpp,twpp,25.248577117919922
5476,epic fail,epicfail,epicfail,25.261672973632812
22534,the hills,thehills,the hills,25.27558135986328
55410,letdown,letdown,let down,25.287616729736328
18235,ncfc,ncfc,ncfc,25.308345794677734
53721,ifast,ifast,i fast,25.319000244140625
77907,tonight show,tonightshow,tonightshow,25.34349822998047
35247,hbmf,hbmf,hbmf,25.350967407226562
33598,q and a,qanda,qanda,25.388256072998047
6872,formula 1,formula1,formula 1,25.40662384033203
12701,typo3,typo3,typo3,25.40662384033203
8785,police state,policestate,policestate,25.415512084960938
63574,better days,betterdays,better days,25.46997833251953
25400,nigella,nigella,nigella,25.496971130371094
8887,Berbatov,Berbatov,Berbatov,25.503253936767578
39662,yay man,yayman,yayman,25.504241943359375
21419,underbelly,underbelly,underbelly,25.54434585571289
52097,my penis,mypenis,my penis,25.584857940673828
2590,hill house,hillhouse,hillhouse,25.590484619140625
50296,b park,bpark,bpark,25.590618133544922
31156,code completion,codecompletion,code completion,25.627182006835938
78915,gripe,gripe,gripe,25.633075714111328
55866,flyfishing,flyfishing,fly fishing,25.63503646850586
39154,McFly,McFly,McFly,25.645763397216797
43059,Terminator 4,Terminator4,Terminator 4,25.681148529052734
35638,Eurovision,Eurovision,Eurovision,25.68273162841797
23297,Tweet It Up,TweetItUp,Tweet It Up,25.72079086303711
54451,new album,newalbum,new album,25.75870132446289
74761,s1e8,s1e8,s1e8,25.761478424072266
76052,geek camp,geekcamp,geekcamp,25.76480484008789
10099,morning joe,morningjoe,morning joe,25.771839141845703
40311,h1n1,h1n1,h1n1,25.818206787109375
27544,acen,acen,ace n,25.84033203125
30542,mc fly,mcfly,mcfly,25.842369079589844
22635,ice hockey,icehockey,ice hockey,25.871562957763672
9946,nambu,nambu,nambu,25.881500244140625
33570,no car,nocar,no car,25.93798828125
30212,story of my life,storyofmylife,story of my life,25.970821380615234
75385,second life,secondlife,second life,26.01476287841797
70194,Migraines,Migraines,Migraines,26.035327911376953
39435,indy 500,indy500,indy500,26.037784576416016
5818,ahbl,ahbl,ahbl,26.046524047851562
2488,game arena,gamearena,gamearena,26.08049774169922
15642,moodswings,moodswings,mood swings,26.096641540527344
8644,Canucks,Canucks,Canucks,26.158058166503906
67246,PNLC,PNLC,PNLC,26.199542999267578
22220,hamr,hamr,hamr,26.204212188720703
2653,random facts,randomfacts,random facts,26.206745147705078
50686,Follow Friday,FollowFriday,Follow Friday,26.22408676147461
16327,spsdc,spsdc,spsdc,26.254241943359375
51357,twhirl,twhirl,twhirl,26.280441284179688
31495,Why I Tweet,WhyITweet,Why I Tweet,26.309520721435547
28858,tcaf,tcaf,tcaf,26.310791015625
74345,kettlebells,kettlebells,kettlebells,26.377681732177734
22844,lost the game,lostthegame,lost the game,26.39480972290039
56238,virgin media,virginmedia,virginmedia,26.408714294433594
9961,tweetie,tweetie,tweetie,26.432613372802734
54297,Let me go,Letmego,Let me go,26.513912200927734
31314,teched,teched,tech ed,26.527877807617188
32654,spin to,spinto,spinto,26.54275894165039
1472,Ambients,Ambients,Ambients,26.555217742919922
14823,Moscato,Moscato,Moscato,26.57738494873047
11568,Miss USA,MissUSA,Miss USA,26.651302337646484
75088,WNTW,WNTW,WNTW,26.668853759765625
74043,girl crush,girlcrush,girl crush,26.731769561767578
8862,otalia,otalia,otalia,26.736339569091797
22408,twdn,twdn,twdn,26.744831085205078
76638,home birth,homebirth,homebirth,26.798507690429688
35846,cloud fail,cloudfail,cloudfail,26.801166534423828
71333,kitchen fire,kitchenfire,kitchen fire,26.804401397705078
46932,VS 2010,VS2010,VS 2010,26.825702667236328
37315,truecrypt,truecrypt,truecrypt,26.827266693115234
2565,plowed,plowed,plowed,26.893539428710938
60179,riesling,riesling,riesling,26.894229888916016
40485,secret mission,secretmission,secret mission,26.89638900756836
28926,Breaking bad,Breakingbad,Breaking bad,26.93470001220703
51607,Border liner,Borderliner,Borderliner,26.945858001708984
26682,Twitter Takeover,TwitterTakeover,Twitter Takeover,26.946563720703125
51262,coffee club,coffeeclub,coffee club,26.953510284423828
48696,revision 3,revision3,revision 3,26.965099334716797
68083,primavera,primavera,primavera,26.989093780517578
39692,simple plan,simpleplan,simple plan,26.996326446533203
68997,Sixx,Sixx,Sixx,27.004974365234375
77402,itouch,itouch,i touch,27.04168701171875
72289,sleep deprived,sleepdeprived,sleepdeprived,27.05706787109375
36399,married life,marriedlife,married life,27.06147003173828
17577,Diigo,Diigo,Diigo,27.067455291748047
73689,red sox,redsox,redsox,27.074111938476562
6139,what a burger,whataburger,whataburger,27.080524444580078
33275,Glasto,Glasto,Glasto,27.096675872802734
28096,big weekend,bigweekend,big weekend,27.136554718017578
37440,tweet up,tweetup,tweetup,27.141101837158203
9414,yay men,yaymen,yaymen,27.16241455078125
54147,anti patterns,antipatterns,antipatterns,27.192031860351562
66457,asylm,asylm,asylm,27.19805908203125
10721,boston marathon,bostonmarathon,boston marathon,27.200164794921875
55444,GA 2009,GA2009,GA 2009,27.21718978881836
38308,singleminded,singleminded,singleminded,27.228111267089844
53785,post digital,postdigital,post digital,27.265483856201172
22421,event track,eventtrack,event track,27.279804229736328
14506,Team Britney,TeamBritney,Team Britney,27.32740020751953
56799,george michael,georgemichael,george michael,27.34170913696289
72214,anti boyle,antiboyle,antiboyle,27.342403411865234
37668,shortstack,shortstack,shortstack,27.398685455322266
18796,flying pig,flyingpig,flying pig,27.412548065185547
13599,pc 09,pc09,pc09,27.422889709472656
15179,mdsw,mdsw,mdsw,27.433944702148438
22487,Stansted,Stansted,Stansted,27.479061126708984
30738,project aware,projectaware,project aware,27.49041748046875
19615,Ayrton,Ayrton,Ayrton,27.52761459350586
40141,follow week,followweek,follow week,27.53140640258789
29702,gwibber,gwibber,gwibber,27.581329345703125
6700,accidents happen,accidentshappen,accidents happen,27.63348388671875
16104,fort worth,fortworth,fortworth,27.640140533447266
50111,ninja tweet,ninjatweet,ninja tweet,27.65288543701172
5519,Tweet Deck,TweetDeck,TweetDeck,27.666847229003906
40381,Music Monday,MusicMonday,Music Monday,27.669116973876953
47152,spoonies,spoonies,spoonies,27.6854248046875
33984,CPSIA,CPSIA,CPSIA,27.689735412597656
39757,hurling,hurling,hurling,27.69115447998047
34169,fix reply,fixreply,fix reply,27.713459014892578
59976,hungee,hungee,hungee,27.738250732421875
69519,the daily show,thedailyshow,thedailyshow,27.786609649658203
14058,heavy workload,heavyworkload,heavy workload,27.806751251220703
31605,Lemon Tree,LemonTree,Lemon Tree,27.842430114746094
3183,readathon,readathon,readathon,27.871826171875
61368,Twitter Remix,TwitterRemix,Twitter Remix,27.872299194335938
27479,anti funny,antifunny,antifunny,27.892566680908203
72024,flash camp,flashcamp,flashcamp,27.9078369140625
38002,share point,sharepoint,sharepoint,27.908580780029297
42621,hate monday,hatemonday,hate monday,27.91059112548828
42222,Eelam,Eelam,Eelam,27.968215942382812
17843,Famished,Famished,Famished,27.976299285888672
75313,my weakness,myweakness,my weakness,28.021045684814453
14443,biz case,bizcase,bizcase,28.07750701904297
47199,drobo,drobo,drobo,28.09139633178711
54057,follow Art,followArt,follow Art,28.126178741455078
16010,DKAJ,DKAJ,DKAJ,28.126934051513672
29358,cusswords,cusswords,cuss words,28.132762908935547
18340,pooram,pooram,pooram,28.137203216552734
23832,23 and me,23andme,23andme,28.137237548828125
23234,nerd prom,nerdprom,nerdprom,28.139869689941406
21145,Ladytron,Ladytron,Ladytron,28.150470733642578
64545,webdu,webdu,webdu,28.182353973388672
40764,future summit,futuresummit,future summit,28.209674835205078
34090,ride to work,ridetowork,ride to work,28.21622085571289
57729,element sc,elementsc,elements c,28.239643096923828
14203,vitaminwater,vitaminwater,vitamin water,28.250980377197266
46986,heart balloon,heartballoon,heart balloon,28.256973266601562
8933,Indycar,Indycar,Indycar,28.279003143310547
29280,fix replies,fixreplies,fix replies,28.29568862915039
22001,next 09,next09,next09,28.316192626953125
46054,flylady,flylady,flylady,28.33819580078125
33630,bring back life,bringbacklife,bring back life,28.349735260009766
15780,bcp 3,bcp3,bcp3,28.368358612060547
43743,up to no good,uptonogood,up to no good,28.368732452392578
72658,UPS sucks,UPSsucks,UPS sucks,28.38996124267578
53885,build your brand,buildyourbrand,build your brand,28.39196014404297
45997,bushfires,bushfires,bushfires,28.415332794189453
76548,lazy eye,lazyeye,lazy eye,28.457015991210938
27854,pyggy,pyggy,pyggy,28.47156524658203
21263,city rail,cityrail,cityrail,28.475955963134766
64050,Twedding,Twedding,Twedding,28.479698181152344
15293,openmoko,openmoko,open moko,28.484012603759766
6619,hac 5,hac5,hac5,28.491256713867188
27244,euroko,euroko,euroko,28.497425079345703
15081,Stabbity,Stabbity,Stabbity,28.512638092041016
51388,iphone dev,iphonedev,iphone dev,28.580608367919922
15380,free realms,freerealms,free realms,28.58261489868164
14478,laddas,laddas,laddas,28.629375457763672
11725,nation of idiots,nationofidiots,nation of idiots,28.632892608642578
25435,punchdrunk,punchdrunk,punchdrunk,28.65920639038086
38723,shit stack,shitstack,shitstack,28.663101196289062
55237,download 2009,download2009,download 2009,28.670391082763672
30583,twiist,twiist,twiist,28.673492431640625
18897,live scribe,livescribe,livescribe,28.680789947509766
16781,SEAF,SEAF,SEAF,28.687278747558594
70960,red mango,redmango,red mango,28.689659118652344
43505,feeling sorry for myself,feelingsorryformyself,feeling sorry for myself,28.691272735595703
14019,TEMPLES,TEMPLES,TEMPLES,28.711193084716797
34337,google wtf,googlewtf,google wtf,28.712993621826172
67157,mountain jam,mountainjam,mountainjam,28.75100326538086
5164,Flylady,Flylady,Flylady,28.754955291748047
74896,wvfn,wvfn,wvfn,28.75982666015625
