,hashtags,goldtruths
288,ilostthegame,['i lost the game']
289,Canes,['Canes']
290,moosetracks,['moose tracks']
291,britainsgottalent,"['britains got talent', 'britain s got talent']"
292,TEDxTokyo,"['TEDxTokyo', 'TEDx Tokyo']"
293,muffin,['muffin']
294,KrispyKreme,['Krispy Kreme']
295,vampirebeatles,['vampire beatles']
296,skaterhockey,['skater hockey']
297,fieldnotes,['field notes']
298,sonysucks,"['Sony sucks', 'sony sucks']"
299,dddscot,"['dddscot', 'ddd scot']"
300,microsoftfail,"['Microsoft fail', 'microsoft fail']"
301,TheBrick,['The Brick']
302,spinto,['spin to']
303,MICA,['MICA']
304,spotify,['spotify']
305,asylm,['asylm']
306,Paperwork,['Paperwork']
307,SaveDollhouse,"['Save Dollhouse', 'save Dollhouse']"
308,bikeTO,"['bike to', 'bike TO']"
309,Sehnsucht,['Sehnsucht']
310,wheniwerealad,"['when I were a lad', 'when i were a lad']"
311,windows7,['windows 7']
312,startrek,"['Star Trek', 'star trek']"
313,railsconf,"['Rails Conf', 'rails conf']"
314,Migraine,['Migraine']
315,policestate,['police state']
316,makehistori,['make histori']
317,amcmain,"['AMC main', 'amc main']"
318,jaljeera,"['jaljeera', 'jaljeera', 'jal jeera', 'jal jeera']"
319,sawman,"['Sawman', 'sawman']"
320,Tamil,['Tamil']
321,mdsw,"['mdsw', 'MDSW']"
322,swans,"['swans', 'Swans']"
323,antiboyle,"['anti boyle', 'antiboyle', 'anti boyle', 'anti Boyle']"
324,30SECONDSTOMARS,['30 SECONDS TO MARS']
325,kelloggs,['kelloggs']
326,absolutionrising,['absolution rising']
327,insomnia,['insomnia']
328,Berbatov,['Berbatov']
329,mileybrazil,"['miley brazil', 'Miley Brazil']"
330,singleminded,"['singleminded', 'single minded']"
331,farpoll,['far poll']
332,Kulula,['Kulula']
333,PrisonBreak,['Prison Break']
334,rstats,"['r stats', 'rstats']"
335,owjen,['owjen']
336,thehills,"['The Hills', 'the hills']"
337,Adobe,"['adobe', 'Adobe']"
338,ShuaBq,['ShuaBq']
339,marriedlife,['married life']
340,wherecamp,"['wherecamp', 'where camp']"
341,wish27,['wish 27']
342,RSD09,['RSD 09']
343,secondlife,['second life']
344,pinoy,"['pinoy', 'Pinoy']"
345,magicalmoms,['magical moms']
346,SUPA,['SUPA']
347,SNL,"['snl', 'SNL']"
348,MyPowerBookG4RIP,['My PowerBook G4 RIP']
349,LAftw,"['Laf tw', 'LA ftw', 'LAftw']"
350,Terminator4,['Terminator 4']
351,lookingatpaintcoloursagain,['looking at paint colours again']
352,Evernote,['Evernote']
353,homeless,['homeless']
354,weight,['weight']
355,alohafriday,['aloha friday']
356,interop,"['interop', 'Interop']"
357,house,['house']
358,SMCSea,['SMC Sea']
359,theofficenbc,['the office nbc']
360,iheartsyouharderlikewhoa,"['I hearts you harder like whoa', 'i hearts you harder like whoa']"
361,whataburger,"['what a burger', 'whataburger']"
362,Wolverine,['Wolverine']
363,TMMM,['TMMM']
364,xmen,"['xmen', 'x men', 'x men', 'XMen', 'X Men']"
365,applefail,['apple fail']
366,betterdays,['better days']
367,giro,"['giro', 'Giro']"
368,arashi,['arashi']
369,nopants,['no pants']
370,subway,['subway']
371,canada,['canada']
372,NHLPlayoffs,['NHL Playoffs']
373,starwarsday,"['star wars day', 'Star Wars day']"
374,simpleplan,['simple plan']
375,shibaricon,"['shibaricon', 'shibari con']"
376,LOFNOTC,['lofnotc']
377,wolverine,['wolverine']
378,SAPInsidetrack,['SAP Inside track']
379,gadgetshowlive,['gadget show live']
380,health,['health']
381,storyofmylife,['story of my life']
382,lazyeye,['lazy eye']
383,Heineken,['Heineken']
384,fantasysurfer,['fantasy surfer']
385,lenoleaves,['leno leaves']
386,download2009,"['download 2009', 'Download 2009']"
387,red,['red']
388,laddas,['laddas']
389,freerealms,['free realms']
390,DavidArchuleta,['David Archuleta']
391,asp,"['asp', 'ASP']"
392,tastecamp,"['taste camp', 'tastecamp']"
393,cars,['cars']
394,imdeprivedtonightandidontlikeit,"['Im deprived tonight and i dont like it', 'I m deprived tonight and i don t like it']"
395,AutomationAtaCost,"['Automation At a Cost', 'Automation at a cost']"
396,VS2010,['VS 2010']
397,bulls,['bulls']
398,graze,['graze']
399,Penguins,['penguins']
400,uptonogood,['up to no good']
401,NOFAKERY,"['NO FAKERY', 'no fakery']"
402,W,['W']
403,twumpet,['twumpet']
404,dispatches,['dispatches']
405,antifunny,"['anti funny', 'antifunny', 'anti funny', 'antifunny']"
406,revision3,['revision 3']
407,campjitterbug,"['camp jitterbug', 'Camp Jitterbug']"
408,training,['training']
409,morningjoe,['morning joe']
410,chickintrain,['chick in train']
411,procycling,"['pro cycling', 'procycling']"
412,WishfulThinking,['Wishful Thinking']
413,WolframAlpha,"['wolfram alpha', 'Wolfram Alpha']"
414,h1n1,"['H1N1', 'h1n1']"
415,fixreply,['fix reply']
416,posscon,"['posscon', 'POSS con', 'poss con']"
417,Arsenal,['Arsenal']
418,cubbies,['cubbies']
419,yaymen,['yay men']
420,badmicrosoft,"['bad microsoft', 'bad Microsoft']"
421,a11y,['a11y']
422,riesling,"['riesling', 'Riesling']"
423,Cannes,['Cannes']
424,Eurovision,['Eurovision']
425,nufc,"['NU FC', 'nufc']"
426,sarcasm,['sarcasm']
427,stargirlinspace,['star girl in space']
428,poynterday,['poynter day']
429,istherecessionoveryet,['is the recession over yet']
430,Adelaide,['Adelaide']
431,SSMTUP,['SSMTUP']
432,l3ree,['l3ree']
433,tennis,['tennis']
434,toulouse,"['toulouse', 'Toulouse']"
435,GA2009,"['GA 2009', 'GA2009']"
436,dailyexercise,['daily exercise']
437,harrymcflytosing,"['Harry McFly to sing', 'harry mcfly to sing', 'harry mc fly to sing']"
438,HenryWoodHouse,"['Henry WoodHouse', 'Henry Wood House', 'Henry Wood house']"
439,woozywednesday,['woozy wednesday']
440,barcamphanoi,"['bar camp hanoi', 'barcamp hanoi']"
441,singhbca,['singh bca']
442,indiavotes09,"['india votes 09', 'India Votes 09']"
443,whatshappening,"['whats happening', 'what s happening', 'whats happening']"
444,notlikely,['not likely']
445,wossybookclub,['wossy book club']
446,wset,['wset']
447,ncfc,['ncfc']
448,boredboots,['bored boots']
449,Monday,['Monday']
450,fixreplies,['fix replies']
451,hiresweetsofgeorgia,['hire sweets of georgia']
452,nigella,"['nigella', 'Nigella']"
453,rails,"['Rails', 'rails']"
454,gayforpeavy,['gay for peavy']
455,mothersday,"['Mothers day', 'Mother s day', 'mothers day', 'mothers day', 'mother s day']"
456,notetogod,['note to god']
457,widgets,['widgets']
458,FLETCHERDAY,"['FLETCHER DAY', 'Fletcher day']"
459,coldremedy,['cold remedy']
460,TintedWindows,"['Tinted Windows', 'tinted windows']"
461,Bashmash,"['Bashmash', 'Bash mash']"
462,cityrail,"['city rail', 'cityrail']"
463,pc09,"['pc09', 'pc 09', 'PC 09']"
464,geekmeet,"['geekmeet', 'geek meet']"
465,gfail,['gfail']
466,thebeat,['the beat']
467,puntastrophe,"['puntastrophe', 'punt astrophe']"
468,VirtualKiss,['Virtual Kiss']
469,iloseweight,"['i lose weight', 'I lose weight']"
470,technologicalracism,['technological racism']
471,tweetb4Ueat,['tweet b4 U eat']
472,posthunt09,"['post hunt 09', 'PostHunt 09']"
473,pawpawty,['paw pawty']
474,tuttle,['tuttle']
475,primavera,['primavera']
476,Borderliner,['Border liner']
477,apprentice,['apprentice']
478,twitteriffic,"['twitteriffic', 'twit teriffic']"
479,last,['last']
480,16,['16']
481,posthunt,['post hunt']
482,mcfly,['mcfly']
483,plowed,['plowed']
484,badoptus,['bad optus']
485,tff2009,['tff 2009']
486,DKAJ,['DKAJ']
487,Dutchlessons,['Dutch lessons']
488,sulax,['sulax']
489,bradiewebb,['bradie webb']
490,kindle,['kindle']
491,indiavotes,['india votes']
492,crumpets,['crumpets']
493,Sixx,['Sixx']
494,favoriteicecream,['favorite icecream']
495,3turnoffwords,['3 turnoff words']
496,Fails,['Fails']
497,formula1,"['Formula1', 'formula 1']"
498,vfth,['vfth']
499,Chicago,['Chicago']
500,frinightfever,['fri night fever']
501,hashtags,['hashtags']
502,Tori,['Tori']
503,nml09,"['nml 09', 'NML 09', 'nml09']"
504,WTCC,['WTCC']
505,Breakingbad,"['Breaking bad', 'Breaking Bad']"
506,nationofidiots,['nation of idiots']
507,spsdc,['spsdc']
508,Coktup,['Coktup']
509,leafs,['leafs']
510,georgemichael,['george michael']
511,breakfast,['breakfast']
512,Angels,['Angels']
513,inews,['i news']
514,famouslovelies,['famous lovelies']
515,ahbl,"['ahbl', 'AHBL']"
516,zappnlaunch,"['Zappn launch', 'zappn launch']"
517,awaresg,['aware sg']
518,logies,['logies']
519,MissUSA,['Miss USA']
520,next09,"['next09', 'next 09', 'NEXT 09']"
521,gravity,['gravity']
522,SEAF,['SEAF']
523,therapyfail,['therapy fail']
524,FifthSummit,['Fifth Summit']
525,futr09,"['futr09', 'futr 09', 'FUTR 09']"
526,iphonedev,['iphone dev']
527,WordPress,['WordPress']
528,hurling,['hurling']
529,barcampbham,['barcamp bham']
530,ukrds,"['uk rds', 'UKRDS', 'ukrds']"
531,fireworks,['fireworks']
532,childofthe80s,"['child of the 80s', 'child of the 80s', 'child of the 80 s']"
533,ldow2009,"['lDOW 2009', 'ldow 2009', 'ldow2009']"
534,pixeltamer,['pixel tamer']
535,tbarcamp,"['t barcamp', 't bar camp']"
536,quote,['quote']
537,nedfail,"['Ned fail', 'ned fail']"
538,geeksonaplane,['geeks on a plane']
539,wieters,"['wieters', 'Wieters']"
540,victoria,"['Victoria', 'victoria']"
541,flashcamp,['flash camp']
542,GrandEastAngliaRun,['Grand East Anglia Run']
543,iabnet,['iabnet']
544,homegame,['home game']
545,tracy,['tracy']
546,bsg,['bsg']
547,23andme,['23 and me']
548,PhotoFollows,"['photo follows', 'Photo Follows']"
549,nickdarcy,['nick darcy']
550,weshouldfindout,['we should find out']
551,pyggy,['pyggy']
552,DeathSponge,"['Death Sponge', 'DeathSponge']"
553,windows,['windows']
554,flyertalk,['flyer talk']
555,chicago,"['Chicago', 'chicago']"
556,metal,['metal']
557,picturesforsadchildren,['pictures for sad children']
558,redsox,['red sox']
559,sigjeans,"['Sig jeans', 'sig jeans']"
560,roadtwip,"['road twip', 'roadtwip']"
561,OHIOis4thrillaz,"['OHIO is 4 thrillaz', 'Ohio is 4 thrillaz']"
562,movie,['movie']
563,stuckrecord,['stuck record']
564,orkut,['orkut']
565,buildyourbrand,['build your brand']
566,yankees,['yankees']
567,sigma,"['Sigma', 'sigma']"
568,followweek,['follow week']
569,jonaswebcast,"['jonas webcast', 'Jonas webcast']"
570,kwinanafreeway,"['kwinana freeway', 'Kwinana freeway']"
571,bTrendie,['bTrendie']
572,moodswings,['mood swings']
573,feelingsorryformyself,['feeling sorry for myself']
574,CPSIA,['CPSIA']
575,WWDCs,"['WWDCs', 'WWDCs', 'WWDC s', 'WWDC s']"
576,itotallymissedyourface,['i totally missed your face']
577,goodlife,['good life']
578,divorceparty,['divorce party']
579,v2powercut,['v2 power cut']
580,hungee,['hungee']
581,Rangers,['Rangers']
582,Flylady,"['Fly lady', 'Flylady']"
583,bookmooch,['book mooch']
584,SavEarl,['Sav Earl']
585,Twins,['Twins']
586,damnheroin,['damn heroin']
587,imissyourfacewhenyouregone,"['i miss your face when youre gone', 'i miss your face when you re gone']"
588,typo3,"['typo3', 'typo 3', 'TYPO3']"
589,deadliestcatch,['deadliest catch']
590,tweetcoding,"['tweetcoding', 'tweet coding']"
591,woot,['woot']
592,antipatterns,['anti patterns']
593,mumbai,"['mumbai', 'Mumbai']"
594,fordaisy,['for daisy']
595,dateline,"['dateline', 'date line']"
596,twunes,['twunes']
597,insanedefaults,['insane defaults']
598,bioniccommando,['bionic commando']
599,failwhale,['fail whale']
600,skytools,"['SkyTools', 'skytools']"
601,hatemonday,['hate monday']
602,babysongsongisallilknownow,"['baby song song is all Il know now', 'baby song song is all I l know now']"
603,fiestamovement,"['Fiesta Movement', 'fiesta movement']"
604,Earthquake,['earthquake']
605,TDCag,"['TDCag', 'TDC ag']"
606,goodluck,['good luck']
607,hac5,"['HAC 5', 'hac 5', 'hac5']"
608,photography,['photography']
609,TeamBritney,['Team Britney']
610,imadeprivedchild,"['Im a deprived child', 'I m a deprived child']"
611,mpexpenses,['mp expenses']
612,DUMBfriendthatzme,"['DUMB friend thatz me', 'dumb friend thatz me']"
613,amazon,['amazon']
614,TYLER,"['Tyler', 'TYLER']"
615,Twitarrr,['Twitarrr']
616,bluray,"['bluray', 'blu ray']"
617,vconqr,"['vconqr', 'vConqr']"
618,polaroid,['polaroid']
619,28fresh,['28 fresh']
620,Samaya,['Samaya']
621,Colorado,['Colorado']
622,ASOT400,"['ASOT400', 'ASOT 400']"
623,livescribe,['livescribe']
624,whuffie,['whuffie']
625,boycottnick,['boycott nick']
626,ninjatweet,['ninja tweet']
627,middlenamethursday,['middle name thursday']
628,ManUtd,['Man Utd']
629,TweetItUp,"['tweet it up', 'Tweet It Up']"
630,NHLtweetup,['NHL tweetup']
631,rollcall,"['rollcall', 'roll call']"
632,SantaBarbara,['Santa Barbara']
633,hburgnews,"['hburg news', 'hburgnews']"
634,notreally,['not really']
635,edtech09,"['edtech 09', 'ed tech 09']"
636,FelipeBaby,['Felipe Baby']
637,leedsunited,"['Leeds United', 'leeds united']"
638,ohnoyoudidnt,"['oh no you didnt', 'oh no you didn t']"
639,Moab,['Moab']
640,lofnotc,['lofnotc']
641,travis,"['travis', 'Travis']"
642,goodnight,['good night']
643,imjustsayin,"['Im just sayin', 'I m just sayin']"
644,comicreliefparty,['comic relief party']
645,pissedoff,"['pissedoff', 'pissed off', 'pissed off']"
646,xboxe3,"['xbox e3', 'Xbox E3']"
647,fail,['fail']
648,virginmedia,"['Virgin media', 'virgin media']"
649,terriblekittymom,['terrible kitty mom']
650,leopard,['leopard']
651,mikeywayday,['mikey way day']
652,lakers,"['Lakers', 'lakers']"
653,fails,['fails']
654,rozsavage,['roz savage']
655,MotoGP,['MotoGP']
656,TEMPLES,['TEMPLES']
657,bentobox,['bento box']
658,Firebox,['Firebox']
659,flyfishing,"['flyfishing', 'fly fishing']"
660,nightmare,['nightmare']
661,wheniwerealass,"['when i were a lass', 'when I were a lass']"
662,projectaware,['project aware']
663,pdxcc09,"['pdxcc 09', 'PDX CC 09', 'pdxcc09']"
664,Ladytron,['Ladytron']
665,woo,['woo']
666,geekcamp,"['geek camp', 'geekcamp']"
667,ntw09,"['ntw09', 'ntw 09', 'NTW 09']"
668,twiparty,"['twi party', 'twiparty']"
669,flickr,"['Flickr', 'flickr']"
670,FAIL,['FAIL']
671,greenday,"['Green Day', 'green day']"
672,eventtrack,['event track']
673,nambu,"['Nambu', 'nambu']"
674,facepalm,"['facepalm', 'facepalm', 'face palm', 'face palm']"
675,BEA09,"['BEA09', 'BEA 09']"
676,Indycar,"['Indycar', 'indycar', 'IndyCar']"
677,twithugs,['twit hugs']
678,bigdealmoms,['big deal moms']
679,gwibber,"['Gwibber', 'gwibber']"
680,wakeskate,['wakeskate']
681,webinale,['webinale']
682,coffee,['coffee']
683,favoritemovie,['favorite movie']
684,grandrapids,['grand rapids']
685,MWYDA,['MWYDA']
686,followArt,"['followArt', 'follow Art']"
687,Migraines,['Migraines']
688,asstrending,['ass trending']
689,Limeisback,['Lime is back']
690,forourhero,['for our hero']
691,GlobalMarijuanaMarch,['Global Marijuana March']
692,bnetraffic,"['bne traffic', 'BNE traffic', 'BNETraffic']"
693,Morrissey,['Morrissey']
694,IDPRelief,['IDP Relief']
695,websitefail,['website fail']
696,rejectprop8,"['reject prop 8', 'reject prop 8']"
697,Tweetie,['Tweetie']
698,Steve,['Steve']
699,tltsym09,"['TLT SYM 09', 'tltsym09', 'tltsym 09', 'tlt sym 09']"
700,gojaysgo,"['go jays go', 'go Jays go']"
701,liloven,"['lil oven', 'lil  oven', 'lil oven', 'lil oven', 'li l oven', 'lil Oven']"
702,fringefailure,['fringe failure']
703,smxlondon,"['smx london', 'SMX London']"
704,savechuck,"['save Chuck', 'save chuck']"
705,tweetjack,['tweet jack']
706,DEMF,['DEMF']
707,cua09,"['cua 09', 'CUA 09', 'cua09']"
708,SaveMeFromHell,['Save Me From Hell']
709,cancer,['cancer']
710,140Sunday,['140 Sunday']
711,WNTW,['WNTW']
712,epicfail,['epic fail']
713,mountainjam,['mountain jam']
714,lulz,['lulz']
715,delongeday,['delonge day']
716,kettlebells,['kettlebells']
717,linux,['linux']
718,aacr,['aacr']
719,xmenorigins,"['xmen origins', 'xmen origins', 'x men origins']"
720,dunkindonuts,['dunkin donuts']
721,Canucks,['Canucks']
722,cramps,['cramps']
723,punchdrunk,['punchdrunk']
724,tweetie,['tweetie']
